OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
21947,2007,CA,USF,ANF,RANCH,00000166,2007/10/20 00:00:00+00,2007/11/15 00:00:00+00,54716,58410.3359375,1,348868467.174829,205467.427787056
21964,2007,CA,CCO,KRN,WHITE,00018055,2007/06/24 00:00:00+00,2007/06/29 00:00:00+00,12432.15,12432.16015625,1,75126103.1721558,51597.6933116908
22022,2007,CA,DOD,MCP,AMMO,00000000,2007/10/23 00:00:00+00,2007/11/01 00:00:00+00,21084,21493.90820313,1,124975228.757959,67026.0386903237
22034,2007,CA,USF,INF,SAGE,00000015,2007/07/06 00:00:00+00,2007/07/11 00:00:00+00,6460,6462.62011719,1,41246097.3667471,47728.5734124992
22035,2007,CA,CDF,ORC,SANTIAGO,00000085,2007/10/21 00:00:00+00,2007/11/08 00:00:00+00,28476,28429.98046875,1,166734464.894243,104267.081983061
22038,2007,CA,USF,BDF,SLIDE,00000167,2007/10/22 00:00:00+00,2007/11/14 00:00:00+00,12759,12769.24804688,1,75786569.8769909,89819.0424484963
22039,2007,CA,CDF,MVU,RICE,00010502,2007/10/07 00:00:00+00,2007/11/05 00:00:00+00,,9471.85351563,1,55121588.9386984,62057.8387206342
22054,2007,CA,CDF,FKU,TAR,00008730,2007/08/10 00:00:00+00,2007/08/19 00:00:00+00,5670,5671.02832031,1,35073841.4662206,30875.8497666484
22057,2007,CA,USF,PNF,MOONLIGHT,00000098,2007/09/03 00:00:00+00,2007/09/25 00:00:00+00,64995,64959.95703125,1,451389570.414284,107611.061062803
22060,2007,CA,USF,INF,OAK,00000022,2007/07/06 00:00:00+00,2007/07/13 00:00:00+00,12051,27062.86914063,1,171364811.043136,104844.502748077
22064,2007,CA,CDF,MVU,POOMACHA,00010643,2007/10/23 00:00:00+00,2007/12/01 00:00:00+00,49390,49410.96875,1,286985282.899251,142814.77353293
22068,2007,CA,USF,TNF,RALSTON,00001443,2006/09/05 00:00:00+00,2007/09/17 00:00:00+00,8422,8421.04394531,1,56542786.3077481,57968.9322541198
22093,2007,CA,USF,MDF,FLETCHER,00000055,2007/07/10 00:00:00+00,2007/08/04 00:00:00+00,8121,8081.95654297,1,59211348.1666574,56008.8088063401
22160,2007,CA,CDF,SCU,LICK,00005214,2007/09/03 00:00:00+00,2007/09/15 00:00:00+00,47760,47748.2734375,1,305304751.041134,112954.127342296
22207,2007,CA,CCO,LAC,BUCKWEED,00000167,2007/10/21 00:00:00+00,2007/10/21 00:00:00+00,38356,38347.47265625,1,229093053.461769,113267.992876302
22220,2007,CA,CDF,MVU,WITCH,00000082,2007/10/21 00:00:00+00,2007/10/31 00:00:00+00,197990,162070.46875,1,936549873.606809,415872.080441128
22221,2007,CA,CDF,SBC,ZACA,00000020,2007/07/04 00:00:00+00,2007/09/02 00:00:00+00,240207,240358.703125,1,1442300023.82949,339556.732178453
22235,2007,CA,USF,PNF,WHEELER,00000053,2007/07/05 00:00:00+00,2007/07/21 00:00:00+00,22906,22331.92382813,1,154819733.604088,93644.2757729544
22237,2007,CA,USF,BDF,BUTLER #2,00000158,2007/09/14 00:00:00+00,2007/12/31 00:00:00+00,14039,13736.27050781,1,81638440.7185948,63099.2195522962
22239,2007,CA,USF,KNF,KING CREEK,00000032,2007/07/10 00:00:00+00,2007/12/06 00:00:00+00,10617,10477.37890625,1,76062499.1988392,94480.139879594
22261,2007,CA,CDF,MVU,HARRIS 2,00010427,2007/10/21 00:00:00+00,2007/11/02 00:00:00+00,,90728.328125,1,519317427.844127,239030.758621888
22287,2005,CA,BLM,CDD,CHINA LAKE,0000B031,2005/07/18 00:00:00+00,2005/07/24 00:00:00+00,10350,10357.56835938,1,64054324.7048635,47317.3828510453
22304,2005,CA,BLM,NOD,BARREL,00003444,2005/08/22 00:00:00+00,2005/09/09 00:00:00+00,24800,24410.21679688,1,178377068.894379,114756.882889861
22386,2005,CA,CDF,RRU,WOODHOUSE,00083672,2005/10/05 00:00:00+00,2005/10/07 00:00:00+00,6500,6532.97314453,1,38524675.379471,32174.2754340969
23010,2005,CA,CDF,SCU,TESLA,00002920,2005/07/19 00:00:00+00,2005/07/20 00:00:00+00,6440,6440.35595703,1,41658928.0741509,50941.3589608284
